,Headline,Autor,visitas,Date,Link
0,Repudio provocan carreras de perros galgos realizadas en Zapallar durante Fiestas Patrias,Felipe Díaz Montero,1262,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2022/09/20/repudio-provocan-carreras-de-perros-galgos-realizadas-en-zapallar-durante-fiestas-patrias.shtml
1,PDI investiga incendio de contenedores en fundo de Mininco en Collipulli,Felipe Díaz Montero,424,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-de-la-araucania/2022/09/20/pdi-investiga-incendio-de-contenedores-en-fundo-de-mininco-en-collipulli.shtml
2,Minsal lanza test de antígeno a menos de $3 mil en farmacias,Diego Vera,776,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/20/minsal-lanza-test-de-antigeno-a-menos-de-3-mil-en-farmacias.shtml
3,Carabineros desarticula banda criminal dedicada al narcotráfico en Coronel y Lota,Felipe Díaz Montero,1055,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/20/carabineros-desarticula-banda-criminal-dedicada-al-narcotrafico-en-coronel-y-lota.shtml
4,Hubo sentidas disculpas: Comunidad Judía de Chile se reúne con Gobierno tras impasse con embajador,Florencia Ortiz,1285,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/20/hubo-sentidas-disculpas-comunidad-judia-de-chile-se-reune-con-gobierno-tras-impasse-con-embajador.shtml
5,Vandalizan dos iglesias católicas en la región de Valparaíso: destruyeron imagen de la virgen,Daniela Salgado,2062,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2022/09/20/vandalizan-dos-iglesias-catolicas-en-la-region-de-valparaiso-destruyeron-imagen-de-la-virgen.shtml
6,Gustito ideológico: diputados de oposición cuestionan tuit de Gabriel Boric tras la Parada Militar,Jean Valencia,11959,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/20/gustito-ideologico-diputados-de-oposicion-cuestionan-tuit-de-gabriel-boric-tras-la-parada-militar.shtml
7,Los Ríos: Autoridad Sanitaria decomisa más de mil kilos de carne durante Fiestas Patrias,Manuel Cabrera,152,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-de-los-rios/2022/09/20/los-rios-autoridad-sanitaria-decomisa-mas-de-mil-kilos-de-carne-durante-fiestas-patrias.shtml
8,Será inédito: Gobierno comenzará proceso de diálogos para elaborar una nueva Ley de Pesca,Florencia Ortiz,577,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/20/sera-inedito-gobierno-empezara-a-recoger-problemas-de-pescadores-para-elaborar-nueva-ley-de-pesca.shtml
9,Urritiacoechea tilda de imprudente recurso presentado por diputadas en contra de test de drogas,Daniela Salgado,994,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/20/urritiacoechea-tilda-de-imprudente-recurso-presentado-por-diputadas-en-contra-de-test-de-drogas.shtml
10,Corporación Cultural SACO anuncia estreno gratuito de documental Paseo Interestelar en Antofagasta,Francisco Iturra,906,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/artes-y-cultura/actualidad-cultural/2022/09/20/corporacion-cultural-saco-anuncia-estreno-gratuito-de-documental-paseo-interestelar-en-antofagasta.shtml
11,Hospital de Los Ángeles realiza tercer procuramiento de órganos en lo que va del año,Daniela Salgado,786,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/20/hospital-de-los-angeles-realiza-tercer-procuramiento-de-organos-en-lo-que-va-del-ano.shtml
12,Marcel afirma que nos estamos volviendo una economía cada vez más segura en su visita a Nueva York,Felipe Reyes,8024,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/economia/actualidad-economica/2022/09/20/marcel-asegura-que-nos-estamos-volviendo-una-economia-cada-vez-mas-segura-en-terminos-de-riesgo.shtml
13,Delegada Metropolitana anuncia querella criminal por homicidio en Espacio Don Óscar de Maipú,Florencia Ortiz,1931,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/20/delegada-metropolitana-anuncia-querella-criminal-por-homicidio-en-espacio-don-oscar-de-maipu.shtml
14,Hospital de Puerto Montt concreta medidas para regularizar listas de espera,Manuel Cabrera,224,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2022/09/20/hospital-de-puerto-montt-concreta-medidas-para-regularizar-listas-de-espera.shtml
15,Acusado de abuso sexual contra adulta mayor de 91 años en Vicuña queda con firma quincenal,Jean Valencia,5516,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-de-coquimbo/2022/09/20/acusado-de-abuso-sexual-contra-adulta-mayor-de-91-anos-en-vicuna-queda-con-firma-quincenal.shtml
16,Provincia de Osorno: alcaldes y locatarios destacan gran concurrencia a eventos de Fiestas Patrias,Daniela Salgado,105,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2022/09/20/provincia-de-osorno-alcaldes-y-locatarios-destacan-gran-concurrencia-a-eventos-de-fiestas-patrias.shtml
17,Consejo Político Mapuche de Wallmapu solicita a Chile Vamos participar en la nueva Constitución,María Jesús Vidal,5416,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-de-la-araucania/2022/09/20/consejo-politico-mapuche-de-wallmapu-solicita-a-chile-vamos-participar-en-la-nueva-constitucion.shtml
18,Exministro de Piñera es elegido por tercera vez como miembro del Parlamento de Suecia,Florencia Ortiz,21806,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/20/exministro-de-pinera-es-elegido-por-tercera-vez-como-miembro-del-parlamento-de-suecia.shtml
19,Comisión de Evaluación Ambiental de la RM votará mañana proyecto mall Vivo Santiago,Tamara Rojas,1521,"Martes 20 Septiembre, 2022 ",https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/20/comision-de-evaluacion-ambiental-de-la-rm-votara-manana-proyecto-mall-vivo-santiago.shtml
