,Headline,Autor,visitas,Link,Hora,Año,Dia_semana,Dia_numerico,Mes
0,Trabajadores de Inacap de Valdivia se manifestaron para exigir mejoras laborales,Tamara Rojas,121.0,https://www.biobiochile.cl/noticias/nacional/region-de-los-rios/2022/09/12/trabajadores-de-inacap-de-valdivia-se-manifestaron-para-exigir-mejoras-laborales.shtml, 21:23,2022,Lunes,12.0,Septiembre
1,Detienen a hombre acusado de asaltar a menor de edad en Lota Alto,Tamara Rojas,142.0,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/12/detienen-a-hombre-acusado-de-asaltar-a-menor-de-edad-en-lota-alto.shtml, 21:15,2022,Lunes,12.0,Septiembre
2,Chile Vamos desmiente acuerdo para proceso constituyente y lanzan críticas al Gobierno,Diego Vera,1.272,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/chile-vamos-desmiente-acuerdo-para-proceso-constituyente-y-lanzan-criticas-al-gobierno.shtml, 21:09,2022,Lunes,12.0,Septiembre
3,PDI confirma vínculo entre dos homicidios en Cartagena: víctimas fueron baleadas,Tamara Rojas,274.0,https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2022/09/12/pdi-confirma-vinculo-entre-dos-homicidios-en-cartagena-victimas-fueron-baleadas.shtml, 21:02,2022,Lunes,12.0,Septiembre
4,Cámara aprueba prórroga del Estado de Excepción en 4 provincias de la Macrozona Sur,Florencia Ortiz,1.369,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/camara-aprueba-prorroga-del-estado-de-excepcion-en-4-provincias-de-la-macrozona-sur.shtml, 19:54,2022,Lunes,12.0,Septiembre
5,¿Se venció tu cédula de identidad? Habilitan plataforma para renovar el documento en forma virtual,Florencia Ortiz,2.315,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/se-vencio-tu-cedula-de-identidad-habilitan-plataforma-para-renovar-el-documento-en-forma-virtual.shtml, 19:43,2022,Lunes,12.0,Septiembre
6,Reportan nuevo homicidio al interior de cárcel de Valdivia: reo de 21 años murió apuñalado,Paola Valenzuela,3.27,https://www.biobiochile.cl/noticias/nacional/region-de-los-rios/2022/09/12/reportan-nuevo-homicidio-al-interior-de-carcel-de-valdivia-reo-de-21-anos-murio-apunalado.shtml, 19:31,2022,Lunes,12.0,Septiembre
7,Roban $30 millones en equipos de computación a liceo municipal de Tucapel: suspendieron las clases,Paola Valenzuela,395.0,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/12/roban-30-millones-en-equipos-de-computacion-a-liceo-municipal-de-tucapel-suspendieron-las-clases.shtml, 19:16,2022,Lunes,12.0,Septiembre
8,Tohá anuncia ajuste a Estado de Excepción para incluir protección de la vida como rol de las FFAA,Felipe Reyes,6.022,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/toha-anuncia-ajuste-a-estado-de-excepcion-para-incluir-proteccion-de-la-vida-como-rol-de-las-ffaa.shtml, 19:10,2022,Lunes,12.0,Septiembre
9,Baleado en El Bosque tiene 12 años: terminó herido en el rostro tras disparos entre bandas rivales,Florencia Ortiz,3.935,https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/12/baleado-en-el-bosque-tiene-12-anos-termino-herido-en-el-rostro-tras-disparos-entre-bandas-rivales.shtml, 18:51,2022,Lunes,12.0,Septiembre
10,Casi 3 horas atrapados: Bomberos rescata a dos trabajadores desde construcción en Villa Alemana,Paola Valenzuela,1.213,https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2022/09/12/casi-3-horas-atrapados-bomberos-rescata-a-dos-trabajadores-desde-construccion-en-villa-alemana.shtml, 18:35,2022,Lunes,12.0,Septiembre
11,Lagos se reúne con RN y apunta a borrador con puntos de encuentro antes de elegir a convencionales,Florencia Ortiz,3.037,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/lagos-se-reune-con-rn-y-apunta-a-borrador-con-puntos-de-encuentro-antes-de-elegir-a-convencionales.shtml, 18:08,2022,Lunes,12.0,Septiembre
12,Defensa de Héctor Llaitul solicita a la Corte Suprema la libertad inmediata del líder de la CAM,María Jesús Vidal,7.378,https://www.biobiochile.cl/noticias/nacional/region-de-la-araucania/2022/09/12/defensa-de-hector-llaitul-solicita-a-la-corte-suprema-la-libertad-inmediata-del-lider-de-la-cam.shtml, 17:55,2022,Lunes,12.0,Septiembre
13,Stingo asegura que el dinero invertido y la desidia del Gobierno determinaron triunfo del Rechazo,Jean Valencia,30.786,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/stingo-asegura-que-el-dinero-invertido-y-la-desidia-del-gobierno-determinaron-triunfo-del-rechazo.shtml, 17:39,2022,Lunes,12.0,Septiembre
14,Quería que nos dejaran vivos: nuevo asalto en caleta Lenga afecta a pareja durante fin de semana,Paola Valenzuela,4.218,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/12/queria-que-nos-dejaran-vivos-nuevo-asalto-en-caleta-lenga-afecta-a-pareja-durante-fin-de-semana.shtml, 17:26,2022,Lunes,12.0,Septiembre
15,Cada quien va a creer que tiene la razón: Vallejo y críticas de Stingo al Gobierno tras plebiscito,Florencia Ortiz,5.643,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/cada-quien-va-a-creer-que-tiene-la-razon-vallejo-y-criticas-de-stingo-al-gobierno-tras-plebiscito.shtml, 17:06,2022,Lunes,12.0,Septiembre
16,Video registra violenta riña que dejó a un hombre inconsciente en balneario de Puerto Montt,María Jesús Vidal,6.52,https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2022/09/12/video-registra-violenta-rina-que-dejo-a-un-hombre-inconsciente-en-balneario-de-puerto-montt.shtml, 16:46,2022,Lunes,12.0,Septiembre
17,Familiares de jóvenes desaparecidos en Cobquecura realizan emotivo reencuentro en Iglesia de Piedra,Manuel Stuardo,4.891,https://www.biobiochile.cl/noticias/nacional/region-de-nuble/2022/09/12/familiares-de-jovenes-desaparecidos-en-cobquecura-realizan-emotivo-reencuentro-en-iglesia-de-piedra.shtml, 16:25,2022,Lunes,12.0,Septiembre
18,Por falta de quórum: reagendan primer comité político ampliado presidido por Tohá en La Moneda,Florencia Ortiz,2.849,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/por-falta-de-quorum-reagendan-primer-comite-politico-ampliado-presidido-por-toha-en-la-moneda.shtml, 16:09,2022,Lunes,12.0,Septiembre
