Fecha;Fondo;RUN;Administradora;Serie;Moneda en que contabiliza el fondo;Valor cuota
30-08-2022;SECURITY PLUS;8253-8;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;A;PESOS;1.776,35
30-08-2022;SECURITY PLUS;8253-8;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;B;PESOS;1.146,21
30-08-2022;SECURITY PLUS;8253-8;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;C;PESOS;2.822,92
30-08-2022;SECURITY PLUS;8253-8;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;D;PESOS;1.335,26
30-08-2022;SECURITY PLUS;8253-8;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;E;PESOS;1.206,81
30-08-2022;SECURITY PLUS;8253-8;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;G;PESOS;1.010,61
30-08-2022;SECURITY PLUS;8253-8;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;I;PESOS;1.175,73
30-08-2022;SECURITY PLUS;8253-8;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;S;PESOS;1.208,37
30-08-2022;DOLAR MONEY MARKET;8384-4;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;A;DOLAR;1.164,28
30-08-2022;DOLAR MONEY MARKET;8384-4;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;B;DOLAR;1.060,37
30-08-2022;DOLAR MONEY MARKET;8384-4;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;C;DOLAR;1.098,21
30-08-2022;DOLAR MONEY MARKET;8384-4;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;S;DOLAR;1.090,07
;;;;;;
